Date,Confirmed Payments
2009-01-03,1.0
2009-01-12,170.0
2009-01-16,658.0
2009-01-20,1102.0
2009-01-24,1498.0
2009-01-28,2087.0
2009-02-01,2577.0
2009-02-05,3094.0
2009-02-09,3608.0
2009-02-13,4117.0
2009-02-17,4631.0
2009-02-21,5113.0
2009-02-25,5566.0
2009-03-01,5994.0
2009-03-05,6420.0
2009-03-09,6877.0
2009-03-13,7325.0
2009-03-17,7794.0
2009-03-21,8265.0
2009-03-25,8671.0
2009-03-29,9134.0
2009-04-02,9595.0
2009-04-06,10071.0
2009-04-10,10484.0
2009-04-14,10949.0
2009-04-18,11421.0
2009-04-22,11916.0
2009-04-26,12345.0
2009-04-30,12809.0
2009-05-04,13298.0
2009-05-08,13820.0
2009-05-12,14211.0
2009-05-16,14736.0
2009-05-20,15186.0
2009-05-24,15481.0
2009-05-28,15934.0
2009-06-01,16342.0
2009-06-05,16661.0
2009-06-09,16817.0
2009-06-13,17165.0
2009-06-17,17470.0
2009-06-21,17794.0
2009-06-25,18125.0
2009-06-29,18415.0
2009-07-03,18744.0
2009-07-07,19078.0
2009-07-11,19388.0
2009-07-15,19695.0
2009-07-19,19863.0
2009-07-23,20146.0
2009-07-27,20347.0
2009-07-31,20498.0
2009-08-04,20578.0
2009-08-08,20917.0
2009-08-12,21243.0
2009-08-16,21480.0
2009-08-20,21544.0
2009-08-24,21602.0
2009-08-28,21747.0
2009-09-01,22085.0
2009-09-05,22355.0
2009-09-09,22647.0
2009-09-13,22904.0
2009-09-17,23170.0
2009-09-21,23485.0
2009-09-25,23714.0
2009-09-29,24080.0
2009-10-03,24410.0
2009-10-07,24622.0
2009-10-11,24907.0
2009-10-15,25166.0
2009-10-19,25430.0
2009-10-23,25810.0
2009-10-27,26109.0
2009-10-31,26348.0
2009-11-04,26514.0
2009-11-08,26766.0
2009-11-12,27054.0
2009-11-16,27378.0
2009-11-20,27718.0
2009-11-24,28079.0
2009-11-28,28420.0
2009-12-02,28700.0
2009-12-06,28983.0
2009-12-10,29416.0
2009-12-14,29858.0
2009-12-18,30386.0
2009-12-22,31161.0
2009-12-26,31781.0
2009-12-30,32431.0
2010-01-03,32970.0
2010-01-07,33700.0
2010-01-11,34348.0
2010-01-15,34979.0
2010-01-19,35504.0
2010-01-23,36106.0
2010-01-27,36839.0
2010-01-31,37599.0
2010-02-04,38377.0
2010-02-08,39266.0
2010-02-12,40031.0
2010-02-16,40858.0
2010-02-20,41719.0
2010-02-24,42672.0
2010-02-28,43358.0
2010-03-04,44067.0
2010-03-08,44794.0
2010-03-12,45377.0
2010-03-16,45921.0
2010-03-20,46500.0
2010-03-24,47300.0
2010-03-28,48081.0
2010-04-01,48917.0
2010-04-05,49604.0
2010-04-09,50361.0
2010-04-13,51392.0
2010-04-17,52348.0
2010-04-21,56469.0
2010-04-25,57321.0
2010-04-29,58196.0
2010-05-03,58937.0
2010-05-07,59641.0
2010-05-11,60320.0
2010-05-15,60929.0
2010-05-19,61576.0
2010-05-23,62481.0
2010-05-27,63581.0
2010-05-31,64565.0
2010-06-04,65370.0
2010-06-08,66142.0
2010-06-12,67050.0
2010-06-16,68029.0
2010-06-20,68831.0
2010-06-24,69785.0
2010-06-28,70670.0
2010-07-02,71722.0
2010-07-06,72722.0
2010-07-10,73640.0
2010-07-14,78013.0
2010-07-18,87077.0
2010-07-22,89069.0
2010-07-26,92593.0
2010-07-30,97304.0
2010-08-03,98688.0
2010-08-07,100653.0
2010-08-11,102078.0
2010-08-15,103830.0
2010-08-19,105292.0
2010-08-23,106748.0
2010-08-27,108229.0
2010-08-31,109452.0
2010-09-04,110912.0
2010-09-08,112057.0
2010-09-12,113387.0
2010-09-16,115054.0
2010-09-20,116607.0
2010-09-24,119213.0
2010-09-28,121246.0
2010-10-02,123661.0
2010-10-06,125319.0
2010-10-10,126831.0
2010-10-14,128249.0
2010-10-18,129843.0
2010-10-22,132614.0
2010-10-26,134691.0
2010-10-30,136731.0
2010-11-03,138100.0
2010-11-07,139625.0
2010-11-11,141400.0
2010-11-15,142837.0
2010-11-19,158960.0
2010-11-23,188510.0
2010-11-27,199066.0
2010-12-01,200881.0
2010-12-05,202649.0
2010-12-09,204643.0
2010-12-13,206698.0
2010-12-17,209166.0
2010-12-21,211611.0
2010-12-25,213954.0
2010-12-29,216356.0
2011-01-02,218674.0
2011-01-06,222672.0
2011-01-10,227034.0
2011-01-14,232147.0
2011-01-18,236125.0
2011-01-22,239950.0
2011-01-26,244687.0
2011-01-30,248951.0
2011-02-03,254850.0
2011-02-07,258311.0
2011-02-11,263330.0
2011-02-15,271433.0
2011-02-19,280031.0
2011-02-23,287722.0
2011-02-27,296097.0
2011-03-03,304836.0
2011-03-07,314109.0
2011-03-11,321981.0
2011-03-15,332159.0
2011-03-19,343950.0
2011-03-23,359373.0
2011-03-27,371351.0
2011-03-31,381218.0
2011-04-04,388481.0
2011-04-08,396445.0
2011-04-12,403648.0
2011-04-16,412973.0
2011-04-20,424016.0
2011-04-24,433319.0
2011-04-28,446280.0
2011-05-02,461200.0
2011-05-06,473516.0
2011-05-10,487088.0
2011-05-14,500768.0
2011-05-18,517756.0
2011-05-22,537766.0
2011-05-26,561028.0
2011-05-30,582544.0
2011-06-03,607637.0
2011-06-07,643119.0
2011-06-11,687407.0
2011-06-15,736136.0
2011-06-19,784401.0
2011-06-23,828253.0
2011-06-27,869460.0
2011-07-01,911420.0
2011-07-05,948045.0
2011-07-09,985227.0
2011-07-13,1020117.0
2011-07-17,1054846.0
2011-07-21,1090253.0
2011-07-25,1123196.0
2011-07-29,1157013.0
2011-08-02,1186975.0
2011-08-06,1219102.0
2011-08-10,1249139.0
2011-08-14,1279613.0
2011-08-18,1312794.0
2011-08-22,1342755.0
2011-08-26,1372434.0
2011-08-30,1399898.0
2011-09-03,1429269.0
2011-09-07,1457332.0
2011-09-11,1484207.0
2011-09-15,1509972.0
2011-09-19,1534053.0
2011-09-23,1562716.0
2011-09-27,1586106.0
2011-10-01,1609722.0
2011-10-05,1632389.0
2011-10-09,1655193.0
2011-10-13,1678394.0
2011-10-17,1700021.0
2011-10-21,1720480.0
2011-10-25,1742318.0
2011-10-29,1762640.0
2011-11-02,1784170.0
2011-11-06,1808836.0
2011-11-10,1831920.0
2011-11-14,1853942.0
2011-11-18,1877026.0
2011-11-22,1896772.0
2011-11-26,1918362.0
2011-11-30,1940579.0
2011-12-04,1965689.0
2011-12-08,1991540.0
2011-12-12,2013872.0
2011-12-16,2034597.0
2011-12-20,2055204.0
2011-12-24,2078604.0
2011-12-28,2099428.0
2012-01-01,2119853.0
2012-01-05,2141802.0
2012-01-09,2167762.0
2012-01-13,2194335.0
2012-01-17,2221206.0
2012-01-21,2248347.0
2012-01-25,2273434.0
2012-01-29,2300283.0
2012-02-02,2326193.0
2012-02-06,2354516.0
2012-02-10,2382119.0
2012-02-14,2413283.0
2012-02-18,2448347.0
2012-02-22,2473595.0
2012-02-26,2502113.0
2012-03-01,2528080.0
2012-03-05,2554315.0
2012-03-09,2580934.0
2012-03-13,2604183.0
2012-03-17,2631707.0
2012-03-21,2658017.0
2012-03-25,2684183.0
2012-03-29,2710879.0
2012-04-02,2736972.0
2012-04-06,2765433.0
2012-04-10,2790733.0
2012-04-14,2822550.0
2012-04-18,2854228.0
2012-04-22,2886185.0
2012-04-26,2914845.0
2012-04-30,2947200.0
2012-05-04,2990876.0
2012-05-08,3047591.0
2012-05-12,3113179.0
2012-05-16,3196801.0
2012-05-20,3291777.0
2012-05-24,3405627.0
2012-05-28,3510999.0
2012-06-01,3617278.0
2012-06-05,3737191.0
2012-06-09,3854429.0
2012-06-13,3978747.0
2012-06-17,4195806.0
2012-06-21,4347208.0
2012-06-25,4441819.0
2012-06-29,4558155.0
2012-07-03,4648366.0
2012-07-07,4739594.0
2012-07-11,4846409.0
2012-07-15,4949089.0
2012-07-19,5074605.0
2012-07-23,5212119.0
2012-07-27,5331059.0
2012-07-31,5462346.0
2012-08-04,5595343.0
2012-08-08,5722485.0
2012-08-12,5854269.0
2012-08-16,6025712.0
2012-08-20,6186236.0
2012-08-24,6334409.0
2012-08-28,6463194.0
2012-09-01,6601644.0
2012-09-05,6753878.0
2012-09-09,6902241.0
2012-09-13,7033762.0
2012-09-17,7154739.0
2012-09-21,7275508.0
2012-09-25,7384773.0
2012-09-29,7503439.0
2012-10-03,7605392.0
2012-10-07,7733871.0
2012-10-11,7873791.0
2012-10-15,7989945.0
2012-10-19,8115294.0
2012-10-23,8255298.0
2012-10-27,8368550.0
2012-10-31,8455169.0
2012-11-04,8559129.0
2012-11-08,8683889.0
2012-11-12,8792250.0
2012-11-16,8910629.0
2012-11-20,9053886.0
2012-11-24,9192843.0
2012-11-28,9323592.0
2012-12-02,9461273.0
2012-12-06,9569862.0
2012-12-10,9704068.0
2012-12-14,9856024.0
2012-12-18,10004591.0
2012-12-22,10179008.0
2012-12-26,10333282.0
2012-12-30,10497706.0
2013-01-03,10644670.0
2013-01-07,10808310.0
2013-01-11,10983128.0
2013-01-15,11175862.0
2013-01-19,11371267.0
2013-01-23,11552685.0
2013-01-27,11746652.0
2013-01-31,11946799.0
2013-02-04,12173379.0
2013-02-08,12386345.0
2013-02-12,12618644.0
2013-02-16,12842453.0
2013-02-20,13048414.0
2013-02-24,13284592.0
2013-02-28,13533350.0
2013-03-04,13771565.0
2013-03-08,14021718.0
2013-03-12,14266151.0
2013-03-16,14492424.0
2013-03-20,14650795.0
2013-03-24,14866678.0
2013-03-28,15068956.0
2013-04-01,15296088.0
2013-04-05,15542903.0
2013-04-09,15781078.0
2013-04-13,16038435.0
2013-04-17,16270075.0
2013-04-21,16480736.0
2013-04-25,16699419.0
2013-04-29,16903517.0
2013-05-03,17113687.0
2013-05-07,17318921.0
2013-05-11,17560459.0
2013-05-15,17827063.0
2013-05-19,18064021.0
2013-05-23,18266162.0
2013-05-27,18472670.0
2013-05-31,18695655.0
2013-06-04,18909748.0
2013-06-08,19130607.0
2013-06-12,19317957.0
2013-06-16,19493039.0
2013-06-20,19675526.0
2013-06-24,19857923.0
2013-06-28,20038441.0
2013-07-02,20194487.0
2013-07-06,20341761.0
2013-07-10,20486099.0
2013-07-14,20655424.0
2013-07-18,20806559.0
2013-07-22,20953905.0
2013-07-26,21117080.0
2013-07-30,21270723.0
2013-08-03,21465143.0
2013-08-07,21659021.0
2013-08-11,21876015.0
2013-08-15,22069560.0
2013-08-19,22311807.0
2013-08-23,22573372.0
2013-08-27,22781271.0
2013-08-31,23029661.0
2013-09-04,23227259.0
2013-09-08,23453708.0
2013-09-12,23660010.0
2013-09-16,23854571.0
2013-09-20,24094919.0
2013-09-24,24322439.0
2013-09-28,24544378.0
2013-10-02,24732277.0
2013-10-06,24950851.0
2013-10-10,25134237.0
2013-10-14,25343881.0
2013-10-18,25555065.0
2013-10-22,25779633.0
2013-10-26,26020892.0
2013-10-30,26214060.0
2013-11-03,26404958.0
2013-11-07,26593539.0
2013-11-11,26825540.0
2013-11-15,27075645.0
2013-11-19,27314947.0
2013-11-23,27633596.0
2013-11-27,27922306.0
2013-12-01,28279868.0
2013-12-05,28586564.0
2013-12-09,28857043.0
2013-12-13,29114019.0
2013-12-17,29349973.0
2013-12-21,29633852.0
2013-12-25,29853500.0
2013-12-29,30060953.0
2014-01-02,30259586.0
2014-01-06,30486098.0
2014-01-10,30736978.0
2014-01-14,30951053.0
2014-01-18,31185351.0
2014-01-22,31421422.0
2014-01-26,31669679.0
2014-01-30,31913041.0
2014-02-03,32141133.0
2014-02-07,32406147.0
2014-02-11,32665337.0
2014-02-15,32937665.0
2014-02-19,33182973.0
2014-02-23,33451837.0
2014-02-27,33737541.0
2014-03-03,34000971.0
2014-03-07,34309391.0
2014-03-11,34579039.0
2014-03-15,34874620.0
2014-03-19,35116674.0
2014-03-23,35399977.0
2014-03-27,35669182.0
2014-03-31,35916891.0
2014-04-04,36180662.0
2014-04-08,36418645.0
2014-04-12,36684903.0
2014-04-16,36926901.0
2014-04-20,37171002.0
2014-04-24,37431721.0
2014-04-28,37680606.0
2014-05-02,37933416.0
2014-05-06,38167287.0
2014-05-10,38449155.0
2014-05-14,38702439.0
2014-05-18,38965893.0
2014-05-22,39220681.0
2014-05-26,39476803.0
2014-05-30,39749554.0
2014-06-03,39987099.0
2014-06-07,40250781.0
2014-06-11,40473834.0
2014-06-15,40719484.0
2014-06-19,40975842.0
2014-06-23,41197232.0
2014-06-27,41447698.0
2014-07-01,41685191.0
2014-07-05,41943394.0
2014-07-09,42180575.0
2014-07-13,42425727.0
2014-07-17,42678822.0
2014-07-21,42920507.0
2014-07-25,43184303.0
2014-07-29,43419821.0
2014-08-02,43684681.0
2014-08-06,43934462.0
2014-08-10,44213658.0
2014-08-14,44499113.0
2014-08-18,44780553.0
2014-08-22,45074219.0
2014-08-26,45325324.0
2014-08-30,45609878.0
2014-09-03,45871302.0
2014-09-07,46145242.0
2014-09-11,46437022.0
2014-09-15,46698904.0
2014-09-19,47022606.0
2014-09-23,47288697.0
2014-09-27,47592450.0
2014-10-01,47873824.0
2014-10-05,48167284.0
2014-10-09,48470108.0
2014-10-13,48762755.0
2014-10-17,49073750.0
2014-10-21,49356377.0
2014-10-25,49677179.0
2014-10-29,49992303.0
2014-11-02,50333527.0
2014-11-06,50679369.0
2014-11-10,51001965.0
2014-11-14,51365099.0
2014-11-18,51688536.0
2014-11-22,52032605.0
2014-11-26,52356355.0
2014-11-30,52691679.0
2014-12-04,53072918.0
2014-12-08,53417501.0
2014-12-12,53772332.0
2014-12-16,54104356.0
2014-12-20,54494163.0
2014-12-24,54856046.0
2014-12-28,55159152.0
2015-01-01,55480094.0
2015-01-05,55786649.0
2015-01-09,56167700.0
2015-01-13,56563545.0
2015-01-17,56996731.0
2015-01-21,57368543.0
2015-01-25,57734051.0
2015-01-29,58113605.0
2015-02-02,58450316.0
2015-02-06,58806421.0
2015-02-10,59164725.0
2015-02-14,59566801.0
2015-02-18,59958714.0
2015-02-22,60344470.0
2015-02-26,60740803.0
2015-03-02,61121472.0
2015-03-06,61536823.0
2015-03-10,61915745.0
2015-03-14,62314941.0
2015-03-18,62694869.0
2015-03-22,63098047.0
2015-03-26,63483022.0
2015-03-30,63862964.0
2015-04-03,64314927.0
2015-04-07,64711064.0
2015-04-11,65160266.0
2015-04-15,65572106.0
2015-04-19,65979454.0
2015-04-23,66411165.0
2015-04-27,66822901.0
2015-05-01,67279070.0
2015-05-05,67662569.0
2015-05-09,68108888.0
2015-05-13,68514934.0
2015-05-17,68921457.0
2015-05-21,69321823.0
2015-05-25,69702357.0
2015-05-29,70136658.0
2015-06-02,70616730.0
2015-06-06,71100871.0
2015-06-10,71506717.0
2015-06-14,71990448.0
2015-06-18,72477817.0
2015-06-22,72926758.0
2015-06-26,73395661.0
2015-06-30,73842827.0
2015-07-04,74414788.0
2015-07-08,75000638.0
2015-07-12,75771695.0
2015-07-16,76377423.0
2015-07-20,76860425.0
2015-07-24,77359954.0
2015-07-28,77778068.0
2015-08-01,78311452.0
2015-08-05,78814943.0
2015-08-09,79296537.0
2015-08-13,79736890.0
2015-08-17,80149184.0
2015-08-21,80623590.0
2015-08-25,81061017.0
2015-08-29,81546557.0
2015-09-02,82011379.0
2015-09-06,82517993.0
2015-09-10,83001503.0
2015-09-14,83589772.0
2015-09-18,84346930.0
2015-09-22,84864066.0
2015-09-26,85385168.0
2015-09-30,85888413.0
2015-10-04,86421773.0
2015-10-08,86930983.0
2015-10-12,87417899.0
2015-10-16,87982906.0
2015-10-20,88525516.0
2015-10-24,89112016.0
2015-10-28,89654027.0
2015-11-01,90297023.0
2015-11-05,91013174.0
2015-11-09,91646798.0
2015-11-13,92286431.0
2015-11-17,92893073.0
2015-11-21,93524134.0
2015-11-25,94102540.0
2015-11-29,94746176.0
2015-12-03,95419748.0
2015-12-07,96123127.0
2015-12-11,96942987.0
2015-12-15,97778984.0
2015-12-19,98655287.0
2015-12-23,99515476.0
2015-12-27,100305034.0
2015-12-31,101000764.0
2016-01-04,101571729.0
2016-01-08,102297161.0
2016-01-12,103010985.0
2016-01-16,103760801.0
2016-01-20,104557079.0
2016-01-24,105393213.0
2016-01-28,106277164.0
2016-02-01,107097081.0
2016-02-05,107953916.0
2016-02-09,108840634.0
2016-02-13,109728733.0
2016-02-17,110538096.0
2016-02-21,111409151.0
2016-02-25,112324526.0
2016-02-29,113159415.0
2016-03-04,114194756.0
2016-03-08,114982938.0
2016-03-12,115752295.0
2016-03-16,116462714.0
2016-03-20,117267257.0
2016-03-24,118036568.0
2016-03-28,118717643.0
2016-04-01,119519077.0
2016-04-05,120301309.0
2016-04-09,121170114.0
2016-04-13,122022428.0
2016-04-17,122869495.0
2016-04-21,123725048.0
2016-04-25,124517359.0
2016-04-29,125473816.0
2016-05-03,126363745.0
2016-05-07,127297075.0
2016-05-11,128159242.0
2016-05-15,129066021.0
2016-05-19,129981129.0
2016-05-23,130783891.0
2016-05-27,131722199.0
2016-05-31,132520907.0
2016-06-04,133435118.0
2016-06-08,134274248.0
2016-06-12,135182216.0
2016-06-16,136151343.0
2016-06-20,137124968.0
2016-06-24,138099653.0
2016-06-28,138943108.0
2016-07-02,139818164.0
2016-07-06,140623108.0
2016-07-10,141448513.0
2016-07-14,142264794.0
2016-07-18,143052608.0
2016-07-22,143942775.0
2016-07-26,144783205.0
2016-07-30,145723125.0
2016-08-03,146590177.0
2016-08-07,147488018.0
2016-08-11,148392775.0
2016-08-15,149293157.0
2016-08-19,150228418.0
2016-08-23,151096839.0
2016-08-27,152030973.0
2016-08-31,152874409.0
2016-09-04,153745688.0
2016-09-08,154639697.0
2016-09-12,155460161.0
2016-09-16,156372460.0
2016-09-20,157216700.0
2016-09-24,158153913.0
2016-09-28,159030221.0
2016-10-02,159972595.0
2016-10-06,160955164.0
2016-10-10,161955206.0
2016-10-14,162907622.0
2016-10-18,163792452.0
2016-10-22,164778698.0
2016-10-26,165649442.0
2016-10-30,166680044.0
2016-11-03,167646148.0
2016-11-07,168630170.0
2016-11-11,169740830.0
2016-11-15,170715430.0
2016-11-19,171839267.0
2016-11-23,172904661.0
2016-11-27,174101890.0
2016-12-01,175220623.0
2016-12-05,176309004.0
2016-12-09,177500532.0
2016-12-13,178517026.0
2016-12-17,179658397.0
2016-12-21,180710924.0
2016-12-25,181895789.0
2016-12-29,182941295.0
2017-01-02,183961799.0
2017-01-06,185172468.0
2017-01-10,186331500.0
2017-01-14,187526244.0
2017-01-18,188563136.0
2017-01-22,189722896.0
2017-01-26,190780358.0
2017-01-30,191844521.0
2017-02-03,193009940.0
2017-02-07,194139731.0
2017-02-11,195422528.0
2017-02-15,196526652.0
2017-02-19,197709937.0
2017-02-23,198804578.0
2017-02-27,200067913.0
2017-03-03,201323192.0
2017-03-07,202494972.0
2017-03-11,203730676.0
2017-03-15,204816495.0
2017-03-19,205991487.0
2017-03-23,207142546.0
2017-03-27,208183230.0
2017-03-31,209283040.0
2017-04-04,210331731.0
2017-04-08,211489676.0
2017-04-12,212537440.0
2017-04-16,213604022.0
2017-04-20,214675280.0
2017-04-24,215785841.0
2017-04-28,216966802.0
2017-05-02,218189730.0
2017-05-06,219439937.0
2017-05-10,220817283.0
2017-05-14,222070336.0
2017-05-18,223319866.0
2017-05-22,224608121.0
2017-05-26,225991952.0
2017-05-30,227286921.0
2017-06-03,228546120.0
2017-06-07,229706676.0
2017-06-11,230889986.0
2017-06-15,231962028.0
2017-06-19,232970155.0
2017-06-23,234059705.0
